Unnamed: 0,Player,Round,DraftNumber,PreTeam,urlsummary,PreType,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,Position
22,David Roddy,1,23,Colorado State,https://basketball.realgm.com/player/David-Roddy/Summary/134247,College,31.0,31.0,32.9,19.19,7.16,12.55,0.5710000000000001,1.48,3.39,0.43799999999999994,3.39,4.9,0.691,1.84,5.71,7.55,2.87,1.16,1.06,2.32,2.29,F
23,MarJon Beauchamp,1,24,NBA G League Ignite,https://basketball.realgm.com/player/MarJon-Beauchamp/Summary/117599,G League,24.0,23.0,34.6,15.08,6.17,12.04,0.512,0.75,2.75,0.273,1.17,1.62,0.718,1.62,4.92,6.54,2.04,1.5,0.75,1.92,2.25,SG
24,Blake Wesley,1,25,Notre Dame,https://basketball.realgm.com/player/Blake-Wesley/Summary/131835,College,35.0,28.0,29.3,14.4,5.09,12.6,0.40399999999999997,1.54,5.09,0.303,2.69,4.09,0.657,0.69,3.0,3.69,2.4,1.26,0.06,2.2,1.91,SG
25,Wendell Moore Jr.,1,26,Duke,https://basketball.realgm.com/player/Wendell-Moore-Jr/Summary/108165,College,39.0,39.0,33.9,13.41,4.82,9.64,0.5,1.33,3.23,0.413,2.44,3.03,0.805,1.23,4.08,5.31,4.41,1.41,0.21,1.95,1.59,SF
26,Nikola Jovic,1,27,KK Mega Bemax (Serbia),https://basketball.realgm.com/player/Nikola-Jovic/Summary/148861,Overseas,29.0,21.0,28.5,12.0,4.24,10.24,0.414,1.59,5.03,0.315,1.93,2.69,0.718,1.0,3.76,4.76,3.62,0.69,0.45,3.1,2.38,F
27,Patrick Baldwin Jr.,1,28,Milwaukee,https://basketball.realgm.com/player/Patrick-Baldwin-Jr/Summary/117526,College,11.0,11.0,28.5,12.09,4.09,11.91,0.344,1.55,5.82,0.266,2.36,3.18,0.743,0.91,4.91,5.82,1.55,0.82,0.82,2.09,1.55,SG
28,TyTy Washington Jr.,1,29,Kentucky,https://basketball.realgm.com/player/TyTy-Washington-Jr/Summary/135606,College,31.0,29.0,29.1,12.52,4.9,10.87,0.451,1.16,3.32,0.35,1.55,2.06,0.75,0.65,2.81,3.45,3.87,1.29,0.19,1.65,1.52,PG
29,Peyton Watson,1,30,UCLA,https://basketball.realgm.com/player/Peyton-Watson/Summary/133038,College,32.0,0.0,12.7,3.28,1.19,3.69,0.322,0.22,0.97,0.226,0.69,1.0,0.688,0.91,1.97,2.88,0.81,0.59,0.59,0.94,1.59,GF
30,Andrew Nembhard,2,31,Gonzaga,https://basketball.realgm.com/player/Andrew-Nembhard/Summary/92194,College,32.0,32.0,32.1,11.84,4.38,9.69,0.452,1.59,4.16,0.38299999999999995,1.5,1.72,0.873,0.44,2.94,3.38,5.75,1.59,0.12,1.94,2.0,PG
31,Caleb Houstan,2,32,Michigan,https://basketball.realgm.com/player/Caleb-Houstan/Summary/117539,College,34.0,34.0,31.9,10.09,3.21,8.35,0.384,1.76,4.97,0.355,1.91,2.44,0.7829999999999999,0.79,3.18,3.97,1.35,0.74,0.24,1.53,1.68,SF
32,Christian Koloko,2,33,Arizona,https://basketball.realgm.com/player/Christian-Koloko/Summary/131565,College,37.0,37.0,25.4,12.59,4.95,7.78,0.635,0.0,0.08,0.0,2.7,3.68,0.735,2.57,4.73,7.3,1.38,0.76,2.76,1.59,2.78,C
33,Jaylin Williams,2,34,Arkansas,https://basketball.realgm.com/player/Jaylin-Williams/Summary/152736,College,37.0,35.0,31.7,10.89,3.84,8.32,0.461,0.46,1.92,0.239,2.76,3.78,0.7290000000000001,1.51,8.32,9.84,2.57,1.3,1.11,1.81,2.65,C
34,Max Christie,2,35,Michigan State,https://basketball.realgm.com/player/Max-Christie/Summary/135151,College,35.0,35.0,30.7,9.26,3.2,8.37,0.382,1.11,3.51,0.317,1.74,2.11,0.8240000000000001,0.86,2.6,3.46,1.46,0.51,0.49,1.49,1.11,F
35,Gabriele Procida,2,36,Fortituto Kontatto Bologna (Italy),https://basketball.realgm.com/player/Gabriele-Procida/Summary/136730,Overseas,26.0,7.0,18.5,6.96,2.27,4.35,0.522,0.88,2.31,0.38299999999999995,1.54,1.96,0.784,0.58,2.42,3.0,0.69,0.81,0.35,0.73,0.96,SG
36,Jaden Hardy,2,37,NBA G League Ignite,https://basketball.realgm.com/player/Jaden-Hardy/Summary/126838,G League,25.0,25.0,32.6,19.48,6.88,18.28,0.376,2.32,7.52,0.309,2.16,2.72,0.794,0.6,3.72,4.32,3.56,1.24,0.16,3.36,2.4,SG
37,Kennedy Chandler,2,38,Tennessee,https://basketball.realgm.com/player/Kennedy-Chandler/Summary/117531,College,34.0,34.0,30.8,13.91,5.35,11.53,0.46399999999999997,1.44,3.76,0.38299999999999995,1.76,2.91,0.606,0.68,2.56,3.24,4.74,2.18,0.24,2.5,2.03,PG
38,Khalifa Diop,2,39,Gran Canaria (Spain),https://basketball.realgm.com/player/Khalifa-Diop/Summary/128505,Overseas,54.0,11.0,16.0,6.5,2.57,4.15,0.621,0.0,0.0,0.0,1.35,2.39,0.5660000000000001,1.65,2.52,4.17,0.65,0.46,0.7,1.31,2.81,FC
39,Bryce McGowens,2,40,Nebraska,https://basketball.realgm.com/player/Bryce-McGowens/Summary/151325,College,31.0,31.0,33.3,16.84,5.16,12.81,0.40299999999999997,1.29,4.71,0.27399999999999997,5.23,6.29,0.831,0.71,4.48,5.19,1.39,0.71,0.32,2.1,2.0,GF
40,EJ Liddell,2,41,Ohio State,https://basketball.realgm.com/player/EJ-Liddell/Summary/107392,College,32.0,31.0,33.2,19.41,6.34,12.94,0.49,1.44,3.84,0.374,5.28,6.91,0.765,2.25,5.66,7.91,2.47,0.56,2.5,2.44,2.5,PF
41,Trevor Keels,2,42,Duke,https://basketball.realgm.com/player/Trevor-Keels/Summary/128473,College,36.0,26.0,30.2,11.47,4.08,9.75,0.419,1.5,4.81,0.312,1.81,2.69,0.67,0.83,2.61,3.44,2.72,1.22,0.06,1.25,1.28,PG
42,Moussa Diabate,2,43,Michigan,https://basketball.realgm.com/player/Moussa-Diabate/Summary/126848,College,32.0,26.0,24.8,9.03,3.66,6.75,0.542,0.09,0.44,0.214,1.62,2.62,0.619,2.38,3.59,5.97,0.81,0.34,0.88,1.47,2.69,PF
43,Ryan Rollins,2,44,Toledo,https://basketball.realgm.com/player/Ryan-Rollins/Summary/169177,College,34.0,34.0,32.7,18.85,6.82,14.59,0.46799999999999997,1.38,4.44,0.311,3.82,4.76,0.802,0.68,5.32,6.0,3.62,1.74,0.26,2.18,2.44,G
44,Josh Minott,2,45,Memphis,https://basketball.realgm.com/player/Josh-Minott/Summary/175934,College,33.0,5.0,14.5,6.58,2.52,4.82,0.522,0.06,0.42,0.14300000000000002,1.48,1.97,0.754,1.58,2.18,3.76,0.94,0.82,0.67,0.94,1.76,F
45,Ismael Kamagate,2,46,Paris Basketball (France),https://basketball.realgm.com/player/Ismael-Kamagate/Summary/132958,Overseas,34.0,33.0,27.1,11.26,4.35,6.76,0.643,0.0,0.0,0.0,2.56,3.91,0.654,2.38,3.88,6.26,0.71,0.68,1.56,1.74,1.79,C
46,Vince Williams Jr.,2,47,VCU,https://basketball.realgm.com/player/Vincent-Williams-Jr/Summary/132218,College,30.0,28.0,32.5,14.07,4.57,9.57,0.47700000000000004,2.17,5.6,0.387,2.77,3.4,0.8140000000000001,0.9,5.07,5.97,3.03,1.6,1.07,2.87,2.9,SF
47,Kendall Brown,2,48,Baylor,https://basketball.realgm.com/player/Kendall-Brown/Summary/137162,College,34.0,34.0,27.0,9.68,3.88,6.65,0.584,0.41,1.21,0.341,1.5,2.18,0.6890000000000001,1.74,3.15,4.88,1.85,1.0,0.35,1.71,2.26,G
48,Isaiah Mobley,2,49,USC,https://basketball.realgm.com/player/Isaiah-Mobley/Summary/103943,College,32.0,32.0,34.1,14.16,5.03,11.31,0.445,1.34,3.81,0.35200000000000004,2.75,4.03,0.682,2.22,6.12,8.34,3.31,0.75,0.91,1.88,2.0,SF
49,Matteo Spagnolo,2,50,Vanoli Cremona (Italy),https://basketball.realgm.com/player/Matteo-Spagnolo/Summary/129211,Overseas,25.0,23.0,27.0,12.24,4.28,9.72,0.44,1.2,2.72,0.441,2.48,2.88,0.861,0.6,2.92,3.52,2.6,0.76,0.04,2.64,2.2,SG
50,Tyrese Martin,2,51,Connecticut,https://basketball.realgm.com/player/Tyrese-Martin/Summary/120264,College,29.0,29.0,31.9,13.55,4.97,11.07,0.449,1.48,3.45,0.43,2.14,3.1,0.6890000000000001,2.34,5.17,7.52,1.93,0.79,0.48,1.83,2.1,GF
51,Karlo Matković,2,52,KK Mega Bemax (Serbia),https://basketball.realgm.com/player/Karlo-Matkovic/Summary/118836,Overseas,27.0,15.0,22.1,11.56,4.85,7.96,0.609,0.0,0.11,0.0,1.85,2.63,0.7040000000000001,2.7,3.52,6.22,1.04,0.48,1.22,1.67,3.07,PF
52,JD Davison,2,53,Alabama,https://basketball.realgm.com/player/JD-Davison/Summary/151480,College,33.0,6.0,25.8,8.55,3.0,6.48,0.46299999999999997,0.76,2.52,0.301,1.79,2.45,0.728,1.09,3.67,4.76,4.33,0.97,0.36,2.88,1.24,F
53,Yannick Nzosa,2,54,Unicaja (Spain),https://basketball.realgm.com/player/Yannick-Nzosa/Summary/129212,Overseas,40.0,1.0,10.4,2.08,0.9,2.38,0.379,0.0,0.15,0.0,0.28,0.45,0.611,0.8,1.0,1.8,0.17,0.33,0.55,0.5,1.45,C
54,Gui Santos,2,55,Minas (Brazil),https://basketball.realgm.com/player/Gui-Santos/Summary/139404,Overseas,46.0,29.0,25.8,10.5,3.7,8.22,0.45,1.0,3.07,0.326,2.11,2.89,0.7290000000000001,1.13,3.91,5.04,2.15,0.78,0.8,1.93,2.43,GF
55,Luke Travers,2,56,Perth (Australia),https://basketball.realgm.com/player/Luke-Travers/Summary/133808,Overseas,27.0,6.0,22.0,7.81,2.96,7.11,0.41700000000000004,0.63,2.52,0.25,1.26,1.85,0.68,1.41,3.96,5.37,2.33,0.85,0.67,1.56,0.89,F
56,Jabari Walker,2,57,Colorado,https://basketball.realgm.com/player/Jabari-Walker/Summary/162031,College,33.0,33.0,28.1,14.64,4.85,10.52,0.461,1.09,3.15,0.34600000000000003,3.85,4.91,0.784,2.06,7.33,9.39,1.24,0.73,0.67,2.3,2.52,F
57,Hugo Besson,2,58,New Zealand (New Zealand),https://basketball.realgm.com/player/Hugo-Besson/Summary/127398,Overseas,25.0,19.0,27.4,13.92,4.68,12.12,0.386,1.92,6.24,0.308,2.64,3.32,0.795,0.52,3.44,3.96,2.28,0.6,0.04,1.8,2.72,G
