Unnamed: 0,Player,Round,DraftNumber,PreTeam,urlsummary,PreType,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,Position
0,Paolo Banchero,1,1,Duke,https://basketball.realgm.com/player/Paolo-Banchero/Summary/134150,College,39.0,39.0,33.0,17.21,6.28,13.15,0.478,1.13,3.33,0.33799999999999997,3.51,4.82,0.7290000000000001,1.74,6.05,7.79,3.18,1.05,0.92,2.36,1.92,C
1,Chet Holmgren,1,2,Gonzaga,https://basketball.realgm.com/player/Chet-Holmgren/Summary/134799,College,32.0,31.0,26.9,14.12,5.31,8.75,0.607,1.28,3.28,0.39,2.22,3.09,0.7170000000000001,1.78,8.12,9.91,1.91,0.81,3.66,1.91,2.66,C
2,Jabari Smith,1,3,Auburn,https://basketball.realgm.com/player/Jabari-Smith-II/Summary/145673,College,34.0,33.0,28.8,16.94,5.38,12.56,0.429,2.32,5.53,0.42,3.85,4.82,0.799,0.94,6.47,7.41,2.0,1.09,1.03,1.85,2.06,F
3,Keegan Murray,1,4,Iowa,https://basketball.realgm.com/player/Keegan-Murray/Summary/163374,College,35.0,35.0,31.9,23.49,8.77,15.83,0.5539999999999999,1.89,4.74,0.39799999999999996,4.06,5.43,0.747,2.86,5.8,8.66,1.49,1.29,1.94,1.11,1.86,F
4,Jaden Ivey,1,5,Purdue,https://basketball.realgm.com/player/Jaden-Ivey/Summary/148740,College,36.0,34.0,31.5,17.33,5.64,12.25,0.46,1.78,4.97,0.358,4.28,5.75,0.7440000000000001,0.67,4.22,4.89,3.06,0.92,0.56,2.61,1.75,G
5,Bennedict Mathurin,1,6,Arizona,https://basketball.realgm.com/player/Bennedict-Mathurin/Summary/147080,College,37.0,37.0,32.6,17.7,5.89,13.08,0.45,2.24,6.08,0.369,3.68,4.81,0.764,1.38,4.24,5.62,2.54,0.97,0.27,1.78,1.84,GF
6,Shaedon Sharpe,1,7,Kentucky,https://basketball.realgm.com/player/Shaedon-Sharpe/Summary/150554,College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
7,Dyson Daniels,1,8,NBA G League Ignite,https://basketball.realgm.com/player/Dyson-Daniels/Summary/151792,G League,29.0,29.0,31.6,11.62,4.62,10.21,0.45299999999999996,1.03,3.45,0.3,0.83,1.55,0.5329999999999999,1.86,4.93,6.79,4.72,2.0,0.69,2.69,2.17,GF
8,Jeremy Sochan,1,9,Baylor,https://basketball.realgm.com/player/Jeremy-Sochan/Summary/139379,College,30.0,1.0,25.0,9.23,3.33,7.03,0.474,0.8,2.7,0.29600000000000004,1.77,3.0,0.589,1.97,4.4,6.37,1.77,1.27,0.7,1.57,2.3,SG
9,Johnny Davis,1,10,Wisconsin,https://basketball.realgm.com/player/Johnny-Davis/Summary/117363,College,31.0,31.0,34.2,19.74,6.77,15.87,0.42700000000000005,1.19,3.9,0.306,5.0,6.32,0.7909999999999999,1.32,6.9,8.23,2.13,1.16,0.74,2.29,2.03,F
10,Ousmane Dieng,1,11,New Zealand (New Zealand),https://basketball.realgm.com/player/Ousmane-Dieng/Summary/148828,Overseas,23.0,11.0,20.8,8.87,3.48,8.74,0.39799999999999996,1.13,4.17,0.271,0.78,1.17,0.667,0.48,2.65,3.13,1.0,0.61,0.3,1.39,1.48,SG
11,Jalen Williams,1,12,Santa Clara,https://basketball.realgm.com/player/Jalen-Williams/Summary/135764,College,33.0,33.0,34.8,18.0,6.64,12.94,0.513,1.27,3.21,0.396,3.45,4.27,0.809,0.58,3.85,4.42,4.15,1.18,0.55,2.09,2.58,G
12,Jalen Duren,1,13,Memphis,https://basketball.realgm.com/player/Jalen-Duren/Summary/137931,College,29.0,29.0,25.2,11.97,4.86,8.14,0.597,0.0,0.03,0.0,2.24,3.59,0.625,2.97,5.17,8.14,1.28,0.83,2.1,2.24,2.72,PF
13,Ochai Agbaji,1,14,Kansas,https://basketball.realgm.com/player/Ochai-Agbaji/Summary/130970,College,39.0,39.0,35.0,18.77,6.62,13.92,0.475,2.64,6.46,0.409,2.9,3.9,0.743,0.82,4.23,5.05,1.59,0.92,0.56,2.05,1.67,SF
14,Mark Williams,1,15,Duke,https://basketball.realgm.com/player/Mark-Williams/Summary/132629,College,39.0,39.0,23.5,11.23,4.9,6.79,0.721,0.0,0.03,0.0,1.44,1.97,0.727,2.59,4.82,7.41,0.9,0.49,2.82,0.92,2.05,C
15,A.J. Griffin,1,16,Duke,https://basketball.realgm.com/player/AJ-Griffin-Jr/Summary/143343,College,39.0,25.0,23.9,10.38,3.74,7.59,0.493,1.82,4.08,0.447,1.08,1.36,0.792,0.77,3.15,3.92,0.97,0.51,0.56,0.64,1.1,SG
16,Tari Eason,1,17,LSU,https://basketball.realgm.com/player/Tari-Eason/Summary/127888,College,33.0,4.0,24.4,16.94,5.76,11.06,0.521,0.85,2.36,0.359,4.58,5.7,0.8029999999999999,2.27,4.33,6.61,1.0,1.94,1.09,2.21,2.76,F
17,Dalen Terry,1,18,Arizona,https://basketball.realgm.com/player/Dalen-Terry/Summary/132642,College,37.0,37.0,27.7,8.03,3.11,6.19,0.502,0.76,2.08,0.364,1.05,1.43,0.736,1.16,3.68,4.84,3.92,1.24,0.32,1.38,2.27,PG
18,Jake LaRavia,1,19,Wake Forest,https://basketball.realgm.com/player/Jake-LaRavia/Summary/151853,College,33.0,33.0,34.1,14.61,5.03,9.0,0.5589999999999999,0.85,2.21,0.384,3.7,4.76,0.777,2.06,4.52,6.58,3.7,1.67,0.97,2.7,2.79,F
19,Malaki Branham,1,20,Ohio State,https://basketball.realgm.com/player/Malaki-Branham/Summary/135900,College,32.0,31.0,29.5,13.66,5.0,10.03,0.498,1.16,2.78,0.41600000000000004,2.5,3.0,0.833,0.78,2.78,3.56,2.0,0.75,0.28,1.69,1.75,GF
20,Christian Braun,1,21,Kansas,https://basketball.realgm.com/player/Christian-Braun/Summary/143286,College,40.0,39.0,34.3,14.1,5.17,10.45,0.495,1.27,3.3,0.386,2.48,3.38,0.733,1.4,5.12,6.53,2.77,0.97,0.82,2.02,1.82,SF
21,Walker Kessler,1,22,Auburn,https://basketball.realgm.com/player/Walker-Kessler/Summary/132628,College,34.0,34.0,25.5,11.44,4.79,7.88,0.608,0.29,1.47,0.2,1.56,2.62,0.596,2.62,5.44,8.06,0.88,1.09,4.56,1.09,2.59,C
