Unnamed: 0,Player,Round,DraftNumber,PreTeam,urlsummary,PreType,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,Position
30,Isaiah Todd,2,31,NBA G League Ignite,https://basketball.realgm.com/player/Isaiah-Todd/Summary/117340,G League,15.0,2.0,24.4,12.33,4.87,11.13,0.43700000000000006,1.13,3.13,0.36200000000000004,0.93,1.13,0.8240000000000001,0.8,4.07,4.87,0.8,0.47,0.73,1.53,2.53,PF
31,Jeremiah Robinson-Earl,2,32,Villanova,https://basketball.realgm.com/player/Jeremiah-Robinson-Earl/Summary/103951,College,25.0,25.0,34.4,15.72,6.2,12.48,0.49700000000000005,0.92,3.28,0.28,2.4,3.36,0.7140000000000001,2.48,6.0,8.48,2.2,0.96,0.64,1.64,2.28,PF
32,Jason Preston,2,33,Ohio,https://basketball.realgm.com/player/Jason-Preston/Summary/139852,College,20.0,19.0,34.5,15.7,6.35,12.35,0.514,1.6,4.1,0.39,1.4,2.35,0.596,1.05,6.2,7.25,7.25,1.45,0.25,3.0,1.35,G
33,Rokas Jokubaitis,2,34,Zalgiris (Lithuania),https://basketball.realgm.com/player/Rokas-Jokubaitis/Summary/108679,Overseas,74.0,8.0,20.4,7.54,2.93,6.3,0.466,0.66,1.89,0.35,0.99,1.38,0.716,0.32,1.35,1.68,3.35,0.65,0.03,1.38,1.57,PG
34,Herbert Jones,2,35,Alabama,https://basketball.realgm.com/player/Herb-Jones/Summary/105363,College,33.0,33.0,27.3,11.21,3.91,8.76,0.446,0.61,1.73,0.35100000000000003,2.79,3.91,0.713,2.48,4.09,6.58,3.27,1.73,1.12,2.82,2.85,SF
35,Miles McBride,2,36,West Virginia,https://basketball.realgm.com/player/Miles-McBride/Summary/132462,College,29.0,28.0,34.2,15.79,5.38,12.52,0.43,1.59,3.83,0.414,3.45,4.24,0.813,1.17,2.72,3.9,4.86,1.9,0.31,1.83,1.69,G
36,JT Thor,2,37,Auburn,https://basketball.realgm.com/player/JT-Thor/Summary/143359,College,27.0,27.0,23.1,9.37,3.11,7.07,0.44,0.81,2.74,0.297,2.33,3.15,0.741,1.63,3.41,5.04,0.85,0.81,1.37,1.56,2.04,PF
37,Ayo Dosunmu,2,38,Illinois,https://basketball.realgm.com/player/Ayo-Dosunmu/Summary/107970,College,28.0,28.0,35.2,20.14,7.5,15.36,0.488,1.14,2.96,0.386,4.0,5.11,0.7829999999999999,1.11,5.21,6.32,5.25,1.11,0.21,3.32,2.07,PG
38,Neemias Queta,2,39,Utah State,https://basketball.realgm.com/player/Neemias-Queta/Summary/120369,College,29.0,29.0,30.0,14.93,5.76,10.31,0.5589999999999999,0.0,0.07,0.0,3.41,4.83,0.7070000000000001,2.86,7.28,10.14,2.66,1.07,3.34,2.38,2.38,C
39,Jared Butler,2,40,Baylor,https://basketball.realgm.com/player/Jared-Butler/Summary/127262,College,30.0,30.0,30.4,16.73,5.9,12.53,0.47100000000000003,2.57,6.17,0.41600000000000004,2.37,3.03,0.78,0.43,2.87,3.3,4.8,1.97,0.37,2.83,2.43,PG
40,Joe Wieskamp,2,41,Iowa,https://basketball.realgm.com/player/Joe-Wieskamp/Summary/89520,College,31.0,31.0,29.3,14.84,5.19,10.58,0.491,2.35,5.1,0.462,2.1,3.1,0.677,1.19,5.45,6.65,1.71,0.94,0.32,1.39,1.55,SF
41,Isaiah Livers,2,42,Michigan,https://basketball.realgm.com/player/Isaiah-Livers/Summary/107423,College,23.0,23.0,31.6,13.09,4.43,9.7,0.457,2.17,5.04,0.431,2.04,2.35,0.87,1.09,4.91,6.0,2.0,0.57,0.74,1.13,1.61,PF
42,Greg Brown,2,43,Texas,https://basketball.realgm.com/player/Greg-Brown-III/Summary/117334,College,26.0,24.0,20.6,9.35,3.12,7.42,0.42,1.15,3.5,0.33,1.96,2.77,0.708,1.19,5.0,6.19,0.38,0.58,1.0,2.31,2.96,SF
43,Kessler Edwards,2,44,Pepperdine,https://basketball.realgm.com/player/Kessler-Edwards/Summary/88952,College,27.0,26.0,34.0,17.22,6.07,12.37,0.491,1.67,4.41,0.37799999999999995,3.41,3.89,0.8759999999999999,1.22,5.59,6.81,1.22,1.0,1.22,1.81,2.15,SG
44,Juhann Begarin,2,45,Paris Basketball (France),https://basketball.realgm.com/player/Juhann-Begarin/Summary/123854,Overseas,39.0,38.0,26.6,11.69,4.28,9.38,0.456,1.38,4.05,0.342,1.74,2.85,0.613,0.44,3.05,3.49,2.92,1.36,0.51,2.38,1.74,SG
45,Dalano Banton,2,46,Nebraska,https://basketball.realgm.com/player/Dalano-Banton/Summary/132170,College,27.0,22.0,27.4,9.56,3.33,8.11,0.41100000000000003,0.74,3.0,0.247,2.15,3.26,0.659,1.0,4.89,5.89,3.89,0.96,0.93,2.48,2.07,PG
46,David Johnson,2,47,Louisville,https://basketball.realgm.com/player/David-Johnson/Summary/132437,College,19.0,19.0,35.1,12.63,4.74,11.53,0.41100000000000003,1.68,4.37,0.386,1.47,2.11,0.7,0.89,4.89,5.79,3.16,1.05,0.26,3.21,2.74,SG
47,Sharife Cooper,2,48,Auburn,https://basketball.realgm.com/player/Sharife-Cooper/Summary/117356,College,12.0,12.0,33.3,20.17,6.0,15.33,0.391,1.08,4.75,0.228,7.08,8.58,0.825,0.67,3.58,4.25,8.08,1.0,0.25,4.17,2.67,PG
48,Marcus Zegarowski,2,49,Creighton,https://basketball.realgm.com/player/Marcus-Zegarowski/Summary/108211,College,29.0,29.0,33.6,15.83,5.59,12.03,0.46399999999999997,2.76,6.55,0.42100000000000004,1.9,2.41,0.7859999999999999,0.31,3.31,3.62,4.31,1.28,0.07,2.14,1.9,PG
49,Filip Petrusev,2,50,KK Mega Bemax (Serbia),https://basketball.realgm.com/player/Filip-Petrusev/Summary/75786,Overseas,32.0,30.0,30.1,21.22,7.72,13.72,0.563,1.34,2.91,0.462,4.44,6.22,0.7140000000000001,1.66,5.78,7.44,1.53,0.44,1.03,1.94,2.62,FC
50,BJ Boston,2,51,Kentucky,https://basketball.realgm.com/player/BJ-Boston-Jr/Summary/126853,College,25.0,24.0,30.3,11.48,4.12,11.6,0.355,1.2,4.0,0.3,2.04,2.6,0.785,1.32,3.16,4.48,1.6,1.32,0.16,1.44,1.96,SG
51,Luka Garza,2,52,Iowa,https://basketball.realgm.com/player/Luka-Garza/Summary/105352,College,31.0,31.0,31.6,24.1,9.06,16.39,0.5529999999999999,1.42,3.23,0.44,4.55,6.42,0.7090000000000001,3.0,5.74,8.74,1.74,0.68,1.61,1.52,2.26,C
52,Charles Bassey,2,53,Western Kentucky,https://basketball.realgm.com/player/Charles-Bassey/Summary/88593,College,28.0,28.0,30.3,17.64,6.93,11.75,0.59,0.64,2.11,0.305,3.14,4.14,0.759,3.29,8.32,11.61,0.68,0.39,3.11,2.21,2.39,PF
53,Sandro Mamukelashvili,2,54,Seton Hall,https://basketball.realgm.com/player/Sandro-Mamukelashvili/Summary/103506,College,27.0,27.0,35.5,17.52,6.22,14.33,0.434,1.56,4.63,0.336,3.52,4.93,0.7140000000000001,1.85,5.7,7.56,3.22,1.07,0.56,3.3,1.74,F
54,Aaron Wiggins,2,55,Maryland,https://basketball.realgm.com/player/Aaron-Wiggins/Summary/120275,College,31.0,30.0,33.0,14.45,5.32,11.94,0.446,1.84,5.16,0.35600000000000004,1.97,2.55,0.772,1.13,4.71,5.84,2.55,1.13,0.55,1.97,2.03,F
55,Scottie Lewis,2,56,Florida,https://basketball.realgm.com/player/Scottie-Lewis/Summary/107987,College,21.0,9.0,25.7,7.86,2.71,6.1,0.445,0.67,2.1,0.318,1.76,2.62,0.6729999999999999,0.81,2.29,3.1,1.48,1.57,1.05,1.86,2.48,SF
56,Balsa Koprivica,2,57,Florida State,https://basketball.realgm.com/player/Balsa-Koprivica/Summary/104912,College,24.0,20.0,19.5,9.12,3.67,6.12,0.599,0.04,0.04,1.0,1.75,2.54,0.6890000000000001,2.12,3.5,5.62,0.75,0.29,1.38,1.33,2.62,C
57,Jericho Sims,2,58,Texas,https://basketball.realgm.com/player/Jericho-Sims/Summary/105383,College,26.0,26.0,24.7,9.23,3.62,5.23,0.691,0.0,0.0,0.0,2.0,3.85,0.52,2.15,5.08,7.23,0.65,0.73,1.08,1.62,2.54,C
58,RaiQuan Gray,2,59,Florida State,https://basketball.realgm.com/player/Raiquan-Gray/Summary/104922,College,25.0,24.0,26.2,11.88,4.36,8.44,0.517,0.32,1.2,0.267,2.84,3.72,0.763,1.48,4.92,6.4,2.2,1.2,0.72,2.2,2.6,PF
59,Georgios Kalaitzakis,2,60,Panathinaikos (Greece),https://basketball.realgm.com/player/Georgios-Kalaitzakis/Summary/94544,Overseas,27.0,6.0,8.2,2.59,0.7,1.85,0.38,0.22,0.85,0.261,0.96,1.19,0.813,0.11,0.93,1.04,0.59,0.41,0.15,0.63,1.89,F
