Unnamed: 0,Player,Round,DraftNumber,PreTeam,urlsummary,PreType,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,Position
0,Cade Cunningham,1,1,Oklahoma State,https://basketball.realgm.com/player/Cade-Cunningham/Summary/124839,College,27.0,26.0,35.4,20.15,6.48,14.81,0.43799999999999994,2.3,5.74,0.4,4.89,5.78,0.846,0.7,5.48,6.19,3.48,1.59,0.78,4.04,2.48,SF
1,Jalen Green,1,2,NBA G League Ignite,https://basketball.realgm.com/player/Jalen-Green/Summary/117342,G League,15.0,15.0,32.0,17.93,6.27,13.6,0.461,2.07,5.67,0.365,1.93,2.33,0.8290000000000001,0.53,3.53,4.07,2.8,1.53,0.27,2.67,1.73,SG
2,Evan Mobley,1,3,USC,https://basketball.realgm.com/player/Evan-Mobley/Summary/117327,College,33.0,33.0,33.8,16.36,5.97,10.33,0.578,0.36,1.21,0.3,4.06,5.85,0.6940000000000001,2.73,5.94,8.67,2.39,0.79,2.88,2.24,1.76,PF
3,Scottie Barnes,1,4,Florida State,https://basketball.realgm.com/player/Scottie-Barnes/Summary/119506,College,24.0,7.0,24.7,10.33,4.08,8.12,0.503,0.46,1.67,0.275,1.71,2.75,0.621,1.46,2.54,4.0,4.08,1.46,0.46,2.46,2.17,SF
4,Jalen Suggs,1,5,Gonzaga,https://basketball.realgm.com/player/Jalen-Suggs/Summary/117344,College,30.0,30.0,28.9,14.37,5.17,10.27,0.503,1.17,3.47,0.337,2.87,3.77,0.7609999999999999,0.6,4.73,5.33,4.53,1.9,0.33,2.93,2.6,SG
5,Josh Giddey,1,6,Adelaide (Australia),https://basketball.realgm.com/player/Josh-Giddey/Summary/150528,Overseas,28.0,26.0,32.1,10.79,4.04,9.5,0.425,1.04,3.54,0.293,1.68,2.43,0.691,1.11,6.29,7.39,7.39,1.11,0.46,3.29,1.54,G
6,Jonathan Kuminga,1,7,NBA G League Ignite,https://basketball.realgm.com/player/Jonathan-Kuminga/Summary/127826,G League,13.0,13.0,32.8,15.85,5.54,14.31,0.387,1.23,5.0,0.24600000000000002,2.31,3.69,0.625,1.15,6.0,7.15,2.69,1.0,0.85,2.62,2.08,F
7,Franz Wagner,1,8,Michigan,https://basketball.realgm.com/player/Franz-Wagner/Summary/108861,College,28.0,26.0,31.8,12.46,4.43,9.29,0.47700000000000004,1.25,3.64,0.34299999999999997,2.36,2.82,0.835,0.71,5.82,6.54,3.0,1.25,1.04,1.29,2.21,SF
8,Davion Mitchell,1,9,Baylor,https://basketball.realgm.com/player/Davion-Mitchell/Summary/89964,College,30.0,30.0,32.4,14.0,5.27,10.3,0.511,2.1,4.7,0.447,1.37,2.13,0.6409999999999999,0.47,2.2,2.67,5.5,1.9,0.37,2.43,2.37,PG
9,Ziaire Williams,1,10,Stanford,https://basketball.realgm.com/player/Ziaire-Williams/Summary/137400,College,20.0,14.0,27.8,10.7,3.8,10.15,0.374,1.15,3.95,0.29100000000000004,1.95,2.45,0.7959999999999999,0.5,4.05,4.55,2.2,0.85,0.55,2.9,2.4,F
10,James Bouknight,1,11,Connecticut,https://basketball.realgm.com/player/James-Bouknight/Summary/128317,College,15.0,14.0,31.6,18.73,6.53,14.6,0.447,1.47,5.0,0.293,4.2,5.4,0.778,1.53,4.13,5.67,1.8,1.13,0.27,2.8,1.87,G
11,Joshua Primo,1,12,Alabama,https://basketball.realgm.com/player/Joshua-Primo/Summary/134341,College,30.0,19.0,22.4,8.13,2.8,6.5,0.431,1.43,3.77,0.381,1.1,1.47,0.75,1.03,2.33,3.37,0.83,0.57,0.3,1.37,1.67,G
12,Chris Duarte,1,13,Oregon,https://basketball.realgm.com/player/Chris-Duarte/Summary/105378,College,26.0,26.0,34.0,17.12,6.15,11.58,0.532,2.35,5.54,0.424,2.46,3.04,0.81,0.73,3.88,4.62,2.65,1.88,0.81,2.27,1.38,PG
13,Moses Moody,1,14,Arkansas,https://basketball.realgm.com/player/Moses-Moody/Summary/132632,College,32.0,32.0,33.7,16.84,5.16,12.06,0.42700000000000005,1.81,5.06,0.358,4.72,5.81,0.812,2.0,3.75,5.75,1.59,1.03,0.66,1.62,2.31,SG
14,Corey Kispert,1,15,Gonzaga,https://basketball.realgm.com/player/Corey-Kispert/Summary/105831,College,32.0,32.0,31.8,18.59,6.53,12.34,0.529,2.84,6.47,0.44,2.69,3.06,0.878,0.94,4.03,4.97,1.81,0.91,0.44,1.31,1.69,SF
15,Alperen Sengun,1,16,Besiktas Icrypex (Turkey),https://basketball.realgm.com/player/Alperen-Sengun/Summary/137853,Overseas,37.0,34.0,28.2,18.97,6.78,10.73,0.632,0.19,0.95,0.2,5.22,6.57,0.794,3.62,5.11,8.73,2.7,1.32,1.57,2.43,3.14,C
16,Trey Murphy,1,17,Virginia,https://basketball.realgm.com/player/Trey-Murphy-III/Summary/139788,College,25.0,21.0,29.6,11.28,3.84,7.64,0.503,2.08,4.8,0.433,1.52,1.64,0.927,0.6,2.8,3.4,1.2,0.8,0.44,0.76,1.96,G
17,Tre Mann,1,18,Florida,https://basketball.realgm.com/player/Tre-Mann/Summary/117467,College,24.0,24.0,32.4,16.04,5.54,12.08,0.45899999999999996,1.88,4.67,0.402,3.08,3.71,0.831,0.67,4.96,5.62,3.46,1.38,0.12,2.83,2.38,PG
18,Kai Jones,1,19,Texas,https://basketball.realgm.com/player/Kai-Jones/Summary/120102,College,26.0,4.0,22.9,8.85,3.19,5.5,0.58,0.5,1.31,0.382,1.96,2.85,0.6890000000000001,1.96,2.88,4.85,0.62,0.85,0.92,1.38,2.65,PF
19,Jalen Johnson,1,20,Duke,https://basketball.realgm.com/player/Jalen-Johnson/Summary/117333,College,13.0,8.0,21.4,11.23,4.38,8.38,0.523,0.62,1.38,0.444,1.85,2.92,0.632,1.54,4.54,6.08,2.23,1.15,1.23,2.54,2.23,PF
20,Keon Johnson,1,21,Tennessee,https://basketball.realgm.com/player/Keon-Johnson/Summary/117372,College,27.0,17.0,25.5,11.33,4.11,9.15,0.449,0.48,1.78,0.271,2.63,3.74,0.703,1.07,2.44,3.52,2.48,1.11,0.44,2.63,2.37,PG
21,Isaiah Jackson,1,22,Kentucky,https://basketball.realgm.com/player/Isaiah-Jackson/Summary/132627,College,25.0,18.0,20.8,8.44,2.96,5.48,0.54,0.0,0.08,0.0,2.52,3.6,0.7,2.12,4.48,6.6,0.68,0.76,2.6,1.52,3.0,PF
22,Usman Garuba,1,23,Real Madrid (Spain),https://basketball.realgm.com/player/Usman-Garuba/Summary/108741,Overseas,86.0,42.0,17.2,4.7,1.79,3.8,0.47100000000000003,0.49,1.55,0.316,0.63,0.95,0.659,1.44,3.19,4.63,0.83,0.66,0.53,1.01,1.91,C
23,Josh Christopher,1,24,Arizona State,https://basketball.realgm.com/player/Josh-Christopher/Summary/120138,College,15.0,15.0,29.8,14.27,5.07,11.73,0.43200000000000005,1.2,3.93,0.305,2.93,3.67,0.8,0.67,4.07,4.73,1.4,1.47,0.53,1.73,3.2,G
24,Quentin Grimes,1,25,Houston,https://basketball.realgm.com/player/Quentin-Grimes/Summary/107566,College,30.0,30.0,32.7,17.83,5.77,14.2,0.406,3.33,8.27,0.40299999999999997,2.97,3.77,0.7879999999999999,1.6,4.1,5.7,1.97,1.4,0.3,1.83,2.2,SG
25,Nah’Shon Hyland,1,26,VCU,https://basketball.realgm.com/player/Bones-Hyland/Summary/120125,College,24.0,24.0,31.9,19.46,6.33,14.17,0.447,2.88,7.75,0.371,3.92,4.54,0.862,0.17,4.54,4.71,2.08,1.88,0.17,3.08,2.21,G
26,Cameron Thomas,1,27,LSU,https://basketball.realgm.com/player/Cam-Thomas/Summary/132633,College,29.0,29.0,33.9,23.03,7.0,17.24,0.406,2.34,7.21,0.325,6.69,7.59,0.882,0.62,2.76,3.38,1.45,0.86,0.21,1.69,1.38,PG
27,Jaden Springer,1,28,Tennessee,https://basketball.realgm.com/player/Jaden-Springer/Summary/117325,College,25.0,15.0,26.0,12.52,4.24,9.08,0.467,0.8,1.84,0.435,3.24,4.0,0.81,1.04,2.48,3.52,2.92,1.2,0.44,2.4,2.04,SG
28,Day’Ron Sharpe,1,29,North Carolina,https://basketball.realgm.com/player/DayRon-Sharpe/Summary/135668,College,29.0,4.0,19.2,9.48,3.86,7.45,0.519,0.0,0.07,0.0,1.76,3.48,0.505,3.34,4.21,7.55,1.45,0.79,0.9,1.97,2.03,PF
29,Santi Aldama,1,30,Loyola (MD),https://basketball.realgm.com/player/Santi-Aldama/Summary/119596,College,17.0,17.0,35.0,21.24,7.94,15.47,0.513,1.88,5.12,0.368,3.47,5.06,0.6859999999999999,1.82,8.29,10.12,2.29,1.0,1.71,3.24,1.88,C
